PERIODO;ETAPA;CURSO;TURNO;Nº EXP;NOTA1;NOTA2;NOTA3;NOTA4;NOTA5;NOTA6;MEDIA;APROBADO;FALTAS ACUMULADAS;SEXO;EDAD;LOCALIDAD;Nacionalidad
2012-2013;INFORMATICA;SMR1;DIURNO;A1-20-SMR-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;21;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-21-SMR-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;41;H;21;FUENLABRADA;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-22-SMR-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;70;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-23-SMR-2012;6,0;6,0;7,0;7,0;6,0;6,0;6,3;SI;18;H;16;MADRID;PERUANA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-24-SMR-2012;7,0;6,0;8,0;6,0;7,0;7,0;6,8;SI;1;H;16;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-25-SMR-2012;9,0;7,0;7,0;7,0;7,0;7,0;7,3;SI;78;H;16;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;SMR1;DIURNO;A1-26-SMR-2012;9,0;9,0;9,0;9,0;9,0;9,0;9,0;SI;0;H;16;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-01-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;18;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-02-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;17;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-03-DAM-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;0;H;21;MADRID;PERUANA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-04-DAM-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;10;H;18;LEGANES;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-05-DAM-2012;7,0;6,0;5,0;6,0;7,0;7,0;6,3;SI;2;H;18;ARGANDA DEL REY;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-06-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;1;H;18;VILLANUEVA DE PARDILLO;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-07-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;1;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-08-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;6;M;21;MADRID;PERUANA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-09-DAM-2012;8,0;9,0;5,0;6,0;7,0;7,0;7,0;SI;10;M;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-10-DAM-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;14;H;24;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-11-DAM-2012;7,0;6,0;6,0;6,0;7,0;7,0;6,5;SI;0;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-12-DAM-2012;10,0;7,0;6,0;6,0;7,0;7,0;7,2;SI;15;H;18;VILLALBILLA;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-13-DAM-2012;6,0;6,0;5,0;6,0;6,0;6,0;5,8;SI;3;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-14-DAM-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;3;H;19;ALCALÁ DE HENARES;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-15-DAM-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;16;H;22;VALDEMORO;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-16-DAM-2012;7,0;6,0;6,0;6,0;7,0;7,0;6,5;SI;12;H;28;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-17-DAM-2012;9,0;7,0;7,0;7,0;7,0;7,0;7,3;SI;23;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-18-DAM-2012;7,0;7,0;8,0;7,0;7,0;7,0;7,2;SI;3;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-19-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;2;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-20-DAM-2012;7,0;7,0;8,0;7,0;7,0;7,0;7,2;SI;28;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-21-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;8;H;21;GETAFE;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-22-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;14;H;18;MADRID;BULGARA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-23-DAM-2012;8,0;9,0;5,0;6,0;7,0;7,0;7,0;SI;2;H;24;VELILLA DE SAN ANTONIO;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-24-DAM-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;5;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-25-DAM-2012;7,0;7,0;5,0;7,0;7,0;7,0;6,7;SI;21;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-26-DAM-2012;8,0;7,0;5,0;6,0;7,0;7,0;6,7;SI;41;H;18;ALCALÁ DE HENARES;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-27-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;70;H;19;SAN SEBASTIAN DE LOS REYES;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-28-DAM-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;8;H;22;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;DAM1;VESPERTINO;A1-29-DAM-2012;6,0;6,0;7,0;7,0;6,0;6,0;6,3;SI;16;H;28;MADRID;COLOMBIANA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-01-ASI-2012;8,0;7,0;1,0;6,0;7,0;7,0;6,0;SI;28;H;18;PINTO;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-02-ASI-2012;6,0;6,0;1,0;6,0;6,0;6,0;5,2;SI;89;H;23;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-03-ASI-2012;5,0;9,0;5,0;6,0;7,0;7,0;6,5;SI;0;H;22;LEGANES;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-04-ASI-2012;6,0;6,0;6,0;7,0;6,0;6,0;6,2;SI;56;H;26;VILLACONEJOS;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-05-ASI-2012;7,0;6,0;6,0;6,0;7,0;7,0;6,5;SI;59;H;21;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-06-ASI-2012;8,0;7,0;1,0;6,0;7,0;7,0;6,0;SI;46;H;21;SAN AGUSTIN DE GUADALIX;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-07-ASI-2012;6,0;6,0;1,0;6,0;6,0;6,0;5,2;SI;31;H;32;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-08-ASI-2012;6,0;6,0;5,0;6,0;6,0;6,0;5,8;SI;0;H;30;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-09-ASI-2012;5,0;9,0;8,0;6,0;7,0;7,0;7,0;SI;32;H;21;RIVAS-VACIAMADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-10-ASI-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;0;H;21;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-11-ASI-2012;7,0;6,0;5,0;6,0;7,0;7,0;6,3;SI;23;H;24;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-12-ASI-2012;8,0;7,0;2,0;6,0;7,0;7,0;6,2;SI;0;H;20;CIEMPOZUELOS;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-13-ASI-2012;6,0;6,0;1,0;5,0;6,0;6,0;5,0;SI;0;H;20;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-14-ASI-2012;5,0;9,0;1,0;6,0;7,0;7,0;5,8;SI;13;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-15-ASI-2012;5,0;6,0;5,0;7,0;6,0;6,0;5,8;SI;0;H;19;ARROYOMOLINOS;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-16-ASI-2012;5,0;6,0;5,0;6,0;7,0;7,0;6,0;SI;24;H;19;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-17-ASI-2012;9,0;7,0;3,0;7,0;7,0;7,0;6,7;SI;7;H;26;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-18-ASI-2012;5,0;7,0;1,0;7,0;7,0;7,0;5,7;SI;144;H;18;FUENLABRADA;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-19-ASI-2012;8,0;7,0;2,0;6,0;7,0;7,0;6,2;SI;73;H;18;MOSTOLES;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-20-ASI-2012;7,0;7,0;5,0;7,0;7,0;7,0;6,7;SI;26;H;21;NAVALCARNERO;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-21-ASI-2012;8,0;7,0;5,0;6,0;7,0;7,0;6,7;SI;7;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-22-ASI-2012;6,0;6,0;1,0;6,0;6,0;6,0;5,2;SI;240;H;18;TORRELODONES;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-23-ASI-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;7;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-24-ASI-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;240;H;18;PARLA;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-25-ASI-2012;5,0;7,0;1,0;7,0;7,0;7,0;5,7;SI;93;H;21;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-26-ASI-2012;5,0;7,0;1,0;6,0;7,0;7,0;5,5;SI;52;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-27-ASI-2012;6,0;6,0;8,0;6,0;6,0;6,0;6,3;SI;52;H;24;MADRID;PERUANA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-28-ASI-2012;8,0;9,0;8,0;6,0;7,0;7,0;7,5;SI;5;H;18;MADRID;ESPAÑOLA
2012-2013;INFORMATICA;ASIR1;DIURNO;A1-29-ASI-2012;6,0;6,0;8,0;7,0;6,0;6,0;6,5;SI;52;H;18;LEGANES;SIRIA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-01-AYF-2012;9,1;8,5;8,2;9,2;9,0;9,5;8,9;SI;5;M;18;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-02-AYF-2012;8,7;7,8;9,0;8,7;8,3;7,3;8,3;SI;57;H;19;FUENLABRADA;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-03-AYF-2012;9,3;8,2;7,3;9,5;8,7;8,8;8,6;SI;5;H;22;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-04-AYF-2012;8,3;8,2;9,0;5,0;8,7;8,0;7,9;SI;5;H;28;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-05-AYF-2012;0,0;0,0;0,0;0,0;0,0;0,0;0,0;NO;210;H;18;LEGANES;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-06-AYF-2012;7,7;8,0;6,0;8,0;7,2;8,0;7,5;SI;52;H;18;GALAPAGAR;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-07-AYF-2012;8,8;7,2;9,3;9,2;9,0;8,0;8,6;SI;57;H;18;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-08-AYF-2012;9,2;8,3;9,0;9,7;8,8;8,3;8,9;SI;4;M;18;FUENLABRADA;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-09-AYF-2012;9,1;8,5;8,2;9,2;9,0;9,5;8,9;SI;3;H;21;SEGURILLA;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-10-AYF-2012;8,7;7,8;9,0;8,7;8,3;7,3;8,3;SI;73;H;18;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-11-AYF-2012;9,3;8,2;7,3;9,5;8,7;8,8;8,6;SI;26;M;24;MADRID;PERUANA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-12-AYF-2012;8,3;8,2;9,0;5,0;8,7;8,0;7,9;SI;7;H;18;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-13-AYF-2012;8,8;7,2;9,3;9,2;9,0;8,0;8,6;SI;57;M;18;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-14-AYF-2012;7,7;8,0;6,0;8,0;7,2;8,0;7,5;SI;52;M;18;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-15-AYF-2012;8,8;7,2;9,3;9,2;9,0;8,0;8,6;SI;57;H;19;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-16-AYF-2012;9,2;8,3;9,0;9,7;8,8;8,3;8,9;SI;93;M;22;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-17-AYF-2012;9,1;8,5;8,2;9,2;9,0;9,5;8,9;SI;4;M;28;COSLADA;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-18-AYF-2012;8,7;7,8;9,0;8,7;8,3;7,3;8,3;SI;73;H;18;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-19-AYF-2012;9,3;8,2;7,3;9,5;8,7;8,8;8,6;SI;26;H;23;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-20-AYF-2012;8,3;8,2;9,0;5,0;8,7;8,0;7,9;SI;7;H;22;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-21-AYF-2012;8,8;7,2;9,3;9,2;9,0;8,0;8,6;SI;57;M;26;ALCALÁ DE HENARES;VIETNAMITA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-22-AYF-2012;7,7;8,0;6,0;8,0;7,2;8,0;7,5;SI;52;M;21;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-23-AYF-2012;8,8;7,2;9,3;9,2;9,0;8,0;8,6;SI;57;H;21;ALCALÁ DE HENARES;VIETNAMITA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-24-AYF-2012;9,2;8,3;9,0;9,7;8,8;8,3;8,9;SI;93;M;32;CIEMPOZUELOS;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-25-AYF-2012;7,7;7,0;6,0;8,0;7,2;8,0;7,3;SI;52;M;30;ALCORCON;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-26-AYF-2012;8,8;7,2;9,3;9,2;9,0;8,0;8,6;SI;57;M;21;VALDEMORO;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-27-AYF-2012;9,2;8,3;9,0;9,7;8,8;8,3;8,9;SI;93;M;21;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-28-AYF-2012;7,7;8,0;6,0;8,0;7,2;8,0;7,5;SI;52;M;24;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-29-AYF-2012;8,8;7,2;9,3;9,2;9,0;8,0;8,6;SI;57;M;20;MADRID;ESPAÑOLA
2012-2013;ADMINISTRACIÓN;AYF1;VESPERTINO;A1-30-AYF-2012;9,2;8,3;9,0;9,7;8,8;8,3;8,9;SI;25;M;20;ALCALÁ DE HENARES;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-01-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;1;H;18;VILLALBILLA;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-02-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;3;H;19;VALDEMORO;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-03-DAM-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;2;H;19;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-04-DAM-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;2;H;19;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-05-DAM-2012;7,0;6,0;5,0;6,0;7,0;7,0;6,3;SI;23;H;22;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-06-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;5;H;28;TRES CANTOS;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-07-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;3;H;18;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-08-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;16;H;18;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-09-DAM-2012;8,0;9,0;5,0;6,0;7,0;7,0;7,0;SI;12;H;18;GETAFE;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-10-DAM-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;23;H;18;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-11-DAM-2012;7,0;6,0;6,0;6,0;7,0;7,0;6,5;SI;3;H;21;ARROYOMOLINOS;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-12-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;2;H;18;GALAPAGAR;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-13-DAM-2012;6,0;6,0;5,0;6,0;6,0;6,0;5,8;SI;28;H;24;LEGANES;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-14-DAM-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;8;H;18;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-15-DAM-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;14;H;18;MADRID;RUMANA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-16-DAM-2012;7,0;6,0;6,0;6,0;7,0;7,0;6,5;SI;2;H;18;TORREJON DE ARDOZ;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-17-DAM-2012;9,0;7,0;7,0;7,0;7,0;7,0;7,3;SI;5;H;19;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-18-DAM-2012;7,0;7,0;8,0;7,0;7,0;7,0;7,2;SI;21;H;22;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-19-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;41;H;28;ALCORCON;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-20-DAM-2012;7,0;7,0;8,0;7,0;7,0;7,0;7,2;SI;70;H;18;LEGANES;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-21-DAM-2012;8,0;7,0;6,0;6,0;7,0;7,0;6,8;SI;8;H;23;ARGANDA DEL REY;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-22-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;16;H;22;VILLANUEVA DE PARDILLO;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-23-DAM-2012;8,0;9,0;5,0;6,0;7,0;7,0;7,0;SI;28;H;26;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-24-DAM-2012;6,0;6,0;5,0;7,0;6,0;6,0;6,0;SI;89;H;21;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-25-DAM-2012;7,0;7,0;5,0;7,0;7,0;7,0;6,7;SI;0;H;21;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-26-DAM-2012;8,0;7,0;5,0;6,0;7,0;7,0;6,7;SI;56;H;32;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-27-DAM-2012;6,0;6,0;6,0;6,0;6,0;6,0;6,0;SI;59;H;30;ALCALÁ DE HENARES;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-28-DAM-2012;8,0;9,0;6,0;6,0;7,0;7,0;7,2;SI;56;H;21;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;DAM2;VESPERTINO;A1-29-DAM-2012;6,0;6,0;7,0;7,0;6,0;6,0;6,3;SI;56;H;21;VALDEMORO;ESPAÑOLA
2013-2014;INFORMATICA;ASIR2;DIURNO;A1-01-ASI-2012;10,0;7,0;1,0;6,0;7,0;7,0;6,3;SI;26;H;24;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;ASIR2;DIURNO;A1-02-ASI-2012;5,0;6,0;5,0;5,0;7,0;8,0;6,0;SI;7;H;20;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;ASIR2;DIURNO;A1-03-ASI-2012;6,0;8,0;5,0;7,0;9,0;10,0;7,5;SI;1;H;20;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;ASIR2;DIURNO;A1-04-ASI-2012;5,0;5,0;9,0;6,0;5,0;9,0;6,5;SI;78;H;18;MADRID;ESPAÑOLA
2013-2014;INFORMATICA;ASIR2;DIURNO;A1-05-ASI-2012;8,0;8,0;10,0;9,0;9,0;10,0;9,0;SI;0;H;19;MADRID;ESPAÑOLA
